grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,forecast_total_4w,p_occurrence_week,routine_weekly,routine_total_4w,bulk_share,w1_2026-06-15,w2_2026-06-22,w3_2026-06-29,w4_2026-07-06,customer,channel
sku,sku::1008094,1008094,교체형,lumpy,142582515.0,sba,{'alpha': 0.3},0.06633067890244242,0.12049039277195654,0.9725192791473948,10,6,,801919.3738606508,0.41956802956712125,61.31915887850467,245.2766355140187,0.9999458629271618,200479.8434651627,200479.8434651627,200479.8434651627,200479.8434651627,,
sku,sku::1008095,1008095,교체형,lumpy,37330377.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.19025885362970166,0.3693246155278294,2.0,10,6,,123239.76290348102,0.03210339349556203,0.0,0.0,1.0,30809.940725870256,30809.940725870256,30809.940725870256,30809.940725870256,,
sku,sku::1008053,1008053,교체형,lumpy,36162129.0,sba,{'alpha': 0.3},0.14463771029702202,0.22759857664660602,0.33187730422640577,10,6,,473553.2167538886,0.9737036606708781,93.79289460358798,375.1715784143519,0.9996429690298378,118388.30418847215,118388.30418847215,118388.30418847215,118388.30418847215,,
sku,sku::1009185,1009185,교체형,lumpy,27750062.0,croston,{'alpha': 0.1},0.17586373797954305,0.5001139606803248,1.4458151037078257,10,6,,312253.354900271,0.054216436909171974,0.0,0.0,1.0,78063.33872506775,78063.33872506775,78063.33872506775,78063.33872506775,,
sku,sku::1007583,1007583,교체형,lumpy,23225812.0,sba,{'alpha': 0.3},0.05982021055690234,0.14213292028800886,1.8859208976952042,10,6,,124246.87033415826,0.2576668629804786,101.3625,405.45,0.9997946250490618,31061.717583539565,31061.717583539565,31061.717583539565,31061.717583539565,,
sku,sku::1009110,1009110,교체형,lumpy,15356114.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.05939057162908334,0.237196969212353,2.0,10,6,,42726.53197462696,0.003762230232691633,0.0,0.0,1.0,10681.63299365674,10681.63299365674,10681.63299365674,10681.63299365674,,
sku,sku::1007506,1007506,교체형,lumpy,15224600.0,sba,{'alpha': 0.2},0.020442517202315044,0.04497167086943423,0.5116119585143104,10,6,,68175.45987061429,0.1407574844937232,74.7951923076923,299.1807692307692,0.9994951591503225,17043.86496765357,17043.86496765357,17043.86496765357,17043.86496765357,,
sku,sku::1008551,1008551,교체형,lumpy,15128054.0,sba,{'alpha': 0.3},0.6303385642513577,1.7357656399107926,1.2499505624098453,10,6,,501808.2920652429,0.44875035595857093,0.0,0.0,1.0,125452.07301631072,125452.07301631072,125452.07301631072,125452.07301631072,,
sku,sku::2019229,2019229,교체형,lumpy,13324330.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",1.0906939222028424,5.81501989449155,1.8381339728030417,10,6,,751553.3045260289,0.08379585638821756,0.0,0.0,1.0,187888.32613150723,187888.32613150723,187888.32613150723,187888.32613150723,,
sku,sku::1009592,1009592,교체형,lumpy,13049523.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.140714930814115,4.8152443252459385,0.5017668891866441,10,6,,2291605.5493047945,0.822079500244269,0.0,0.0,1.0,572901.3873261986,572901.3873261986,572901.3873261986,572901.3873261986,,
sku,sku::2019863,2019863,교체형,lumpy,11607851.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.092541715022519,7.435693211514949,1.8698767543804713,10,6,,326071.42082441767,0.07396854019073171,0.0,0.0,1.0,81517.85520610442,81517.85520610442,81517.85520610442,81517.85520610442,,
sku,sku::1006352,1006352,교체형,lumpy,9878619.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0006007676391190114,0.0032480118451975234,2.0,10,6,,312.9083044591915,2.1268559317898332e-05,0.0,0.0,1.0,78.22707611479788,78.22707611479788,78.22707611479788,78.22707611479788,,
sku,sku::1009493,1009493,교체형,intermittent,9095400.0,sba,{'alpha': 0.05},0.05447429542367557,0.2516699262443477,2.0,10,6,,122490.36238998474,0.011308986969219765,0.0,0.0,1.0,30622.590597496186,30622.590597496186,30622.590597496186,30622.590597496186,,
